,station crossing,cross-y,cross-x,St,Ave,start station latitude,start station longitude,departing age,arriving age,Cluster,Neighborhood,umap-x,umap-y
W 49 St & 8 Ave,W 49 St & 8 Ave,W 49 St,8 Ave,W 49 St,8 Ave,40.76227204999522,-73.98788204999181,-0.9875348837208549,-0.06674684305471601,cat-12,Midtown,-7.258568,3.8463013
Stanton St & Chrystie St,Stanton St & Chrystie St,Stanton St,Chrystie St,Stanton St,N.A.,40.72229346000531,-73.9914753499945,-1.129678143712681,-1.656585899070933,cat-8,Lower Manhattan,-8.441124,3.2208784
Pershing Square South,Pershing Square South,Pershing Square South,Pershing Square South,N.A.,N.A.,40.75158099999672,-73.97791000000127,0.9782361847085213,1.4177049180327685,cat-12,Midtown,-10.812656,4.1223445
E 6 St & Avenue B,E 6 St & Avenue B,E 6 St,Avenue B,E 6 St,N.A.,40.72453733999504,-73.98185424000232,-4.166350890488729,-4.340665333575771,cat-8,Lower Manhattan,1.6441398,3.6878583
Amsterdam Ave & W 73 St,Amsterdam Ave & W 73 St,Amsterdam Ave,W 73 St,W 73 St,Amsterdam Ave,40.7796680900771,-73.98093044757842,2.300323132484209,2.519762087490335,cat-9,Upper West Side,-17.876314,8.2939625
S 5 Pl & S 5 St,S 5 Pl & S 5 St,S 5 Pl,S 5 St,S 5 St,N.A.,40.71045099999852,-73.96087599999763,-2.8265170249192124,-2.8771155261222248,cat-8,Lower Manhattan,-18.24662,8.265207
W 47 St & 10 Ave,W 47 St & 10 Ave,W 47 St,10 Ave,W 47 St,10 Ave,40.76269882000421,-73.99301222000172,-1.2772277227722952,-0.5211348057882788,cat-12,Midtown,-17.691586,7.517196
Lispenard St & Broadway,Lispenard St & Broadway,Lispenard St,Broadway,Lispenard St,N.A.,40.71939226000414,-74.00247214000673,-1.3872633390706142,-1.645038167938992,cat-8,Lower Manhattan,-18.4239,7.7301254
W 42 St & 8 Ave,W 42 St & 8 Ave,W 42 St,8 Ave,W 42 St,8 Ave,40.75756989999525,-73.99098507000481,0.051840431682421695,1.029530201342368,cat-12,Midtown,5.540121,-4.650538
N 6 St & Bedford Ave,N 6 St & Bedford Ave,N 6 St,Bedford Ave,N 6 St,Bedford Ave,40.71745168999814,-73.95850939000559,-3.5309427414690617,-3.683214216727947,cat-4,North Brooklyn,9.466207,-4.2921867
W 45 St & 6 Ave,W 45 St & 6 Ave,W 45 St,6 Ave,W 45 St,6 Ave,40.75680010000303,-73.98291153000518,1.392877878846548,1.012889572912627,cat-12,Midtown,-3.0567694,-1.2060206
W 43 St & 10 Ave,W 43 St & 10 Ave,W 43 St,10 Ave,W 43 St,10 Ave,40.7600943699966,-73.99461842999577,1.9418942475303993,1.5750541019083357,cat-12,Midtown,-4.339954,-1.0797206
Fulton St & Broadway,Fulton St & Broadway,Fulton St,Broadway,Fulton St,N.A.,40.71106599999757,-74.00944699999357,-0.2997441448533209,-1.3285992217897729,cat-8,Lower Manhattan,-4.064017,-1.446852
W 46 St & 11 Ave,W 46 St & 11 Ave,W 46 St,11 Ave,W 46 St,11 Ave,40.76341379000179,-73.99667443999132,-0.26306413301654175,0.05818965517232755,cat-12,Midtown,-17.178656,6.0889173
1 Ave & E 78 St,1 Ave & E 78 St,1 Ave,E 78 St,E 78 St,1 Ave,40.771404260003656,-73.95351660000819,-1.6209357652655854,-1.031356101457959,cat-11,Upper East Side,-17.86691,6.9297996
W 63 St & Broadway,W 63 St & Broadway,W 63 St,Broadway,W 63 St,N.A.,40.77163850999904,-73.98261428000028,3.0369414101292023,3.4882231877429604,cat-9,Upper West Side,-13.367473,4.9946146
Central Park West & W 85 St,Central Park West & W 85 St,Central Park West,W 85 St,W 85 St,N.A.,40.784726749996814,-73.96961715000575,1.6812262071728128,2.345585128855191,cat-9,Upper West Side,-14.494119,5.3422875
Greenwich Ave & Charles St,Greenwich Ave & Charles St,Greenwich Ave,Charles St,Charles St,Greenwich Ave,40.73523799999607,-74.00027100000591,-0.9266533066131615,-0.6684598525603178,cat-8,Lower Manhattan,-14.802469,5.1647587
Jay St & York St,Jay St & York St,Jay St,York St,Jay St,N.A.,40.70140317257263,-73.98672670125961,-1.6733627963037634,-1.673195020746789,cat-7,Central Brooklyn,-14.941082,5.8552227
W 45 St & 8 Ave,W 45 St & 8 Ave,W 45 St,8 Ave,W 45 St,8 Ave,40.75929124000468,-73.98859651000512,0.35053632867834494,1.4283380971826318,cat-12,Midtown,5.00223,6.223832
Broadway & W 38 St,Broadway & W 38 St,Broadway,W 38 St,W 38 St,N.A.,40.752996410002694,-73.98721619000669,-0.19504769636705532,-1.2169179229481415,cat-12,Midtown,7.4191847,-7.4479704
Barclay St & Church St,Barclay St & Church St,Barclay St,Church St,Barclay St,N.A.,40.71291224000029,-74.01020234000507,-0.17292470062920984,-0.19620125277833722,cat-8,Lower Manhattan,3.3405194,-9.014338
W 15 St & 10 Ave,W 15 St & 10 Ave,W 15 St,10 Ave,W 15 St,10 Ave,40.74275382866261,-74.00747358798982,-0.3832384052075213,-0.8094575799721042,cat-8,Lower Manhattan,-7.2884564,7.2453184
Howard St & Centre St,Howard St & Centre St,Howard St,Centre St,Howard St,N.A.,40.71910536999584,-73.99973336999304,-1.9095170165069248,-1.6834927742722812,cat-8,Lower Manhattan,-6.523415,-2.1616635
1 Ave & E 62 St,1 Ave & E 62 St,1 Ave,E 62 St,E 62 St,1 Ave,40.7612274000036,-73.96094021999106,-1.1203268641470459,-0.9967380224261433,cat-11,Upper East Side,-4.72296,-2.174493
W 37 St & 10 Ave,W 37 St & 10 Ave,W 37 St,10 Ave,W 37 St,10 Ave,40.756603590001696,-73.99790090000366,-2.8484538193733897,-3.0644634842922187,cat-12,Midtown,-6.072808,-2.2512949
Sullivan St & Washington Sq,Sullivan St & Washington Sq,Sullivan St,Washington Sq,Sullivan St,N.A.,40.73047747000189,-73.99906065000555,-2.8323770491804225,-2.2247762408462677,cat-8,Lower Manhattan,7.686301,-9.050378
E 9 St & Avenue C,E 9 St & Avenue C,E 9 St,Avenue C,E 9 St,N.A.,40.725213110002585,-73.97768751999517,-3.32354149548064,-2.7822732012512006,cat-8,Lower Manhattan,-6.396828,2.8135376
W 44 St & 5 Ave,W 44 St & 5 Ave,W 44 St,5 Ave,W 44 St,5 Ave,40.75500254000318,-73.98014436999827,1.6247940691928306,1.8205128205129313,cat-12,Midtown,-5.508702,2.924346
W 52 St & 11 Ave,W 52 St & 11 Ave,W 52 St,11 Ave,W 52 St,11 Ave,40.767272160002356,-73.99392888000325,0.031831335262495486,-0.5314190595088348,cat-12,Midtown,2.498165,-1.0349685
E 11 St & 2 Ave,E 11 St & 2 Ave,E 11 St,2 Ave,E 11 St,2 Ave,40.73047308999959,-73.98672377999581,-3.5508808290155685,-2.421020156314171,cat-8,Lower Manhattan,-3.8415866,1.6811544
W 13 St & 5 Ave,W 13 St & 5 Ave,W 13 St,5 Ave,W 13 St,5 Ave,40.73544499999858,-73.99430999999716,-0.1354209871421972,-0.563054695562414,cat-8,Lower Manhattan,-6.0980453,2.5134768
E 39 St & 3 Ave,E 39 St & 3 Ave,E 39 St,3 Ave,E 39 St,3 Ave,40.748900600002635,-73.97604882000674,-1.5227603408854975,-1.3858168003378069,cat-12,Midtown,-2.989198,-0.12748371
Murray St & Greenwich St,Murray St & Greenwich St,Murray St,Greenwich St,Murray St,N.A.,40.71485150526628,-74.01122331619263,0.31437499999992724,0.24162011173189057,cat-8,Lower Manhattan,3.6936154,-0.58161485
W 42 St & Dyer Ave,W 42 St & Dyer Ave,W 42 St,Dyer Ave,W 42 St,Dyer Ave,40.758984813992846,-73.99379968643187,1.1067226890756956,1.240217618748602,cat-12,Midtown,9.539318,-6.7868505
W 11 St & 6 Ave,W 11 St & 6 Ave,W 11 St,6 Ave,W 11 St,6 Ave,40.735324270002664,-73.99800419000007,0.5950972104817538,1.1100775193799564,cat-8,Lower Manhattan,3.1674526,-0.8791705
West Thames St,West Thames St,West Thames St,West Thames St,West Thames St,N.A.,40.70834698000328,-74.01713445000526,1.0685134277860016,1.5749004818771937,cat-8,Lower Manhattan,3.0911872,-2.371573
5 Ave & E 78 St,5 Ave & E 78 St,5 Ave,E 78 St,E 78 St,5 Ave,40.77632142182155,-73.96427392959596,2.0644335395775215,2.2350077450762456,cat-9,Upper West Side,6.889855,-8.826892
Front St & Washington St,Front St & Washington St,Front St,Washington St,Front St,N.A.,40.70255087999978,-73.989402359996,-0.664816396242486,-0.6827292110874623,cat-7,Central Brooklyn,5.0374055,-8.732889
E 11 St & Avenue B,E 11 St & Avenue B,E 11 St,Avenue B,E 11 St,N.A.,40.72746420692418,-73.97950418293476,-2.8581314878892954,-2.6333621061717167,cat-8,Lower Manhattan,8.353795,-7.394129
E 30 St & Park Ave S,E 30 St & Park Ave S,E 30 St,Park Ave S,E 30 St,Park Ave S,40.74444921000204,-73.98303528999553,-1.355194805194742,-1.2937140327578618,cat-12,Midtown,8.357263,-9.169273
9 Ave & W 28 St,9 Ave & W 28 St,9 Ave,W 28 St,W 28 St,9 Ave,40.74937024193541,-73.99923384189607,-0.05809128630698979,0.45582503248169814,cat-8,Lower Manhattan,9.080804,-9.080465
Wythe Ave & Metropolitan Ave,Wythe Ave & Metropolitan Ave,Wythe Ave,Metropolitan Ave,N.A.,Wythe Ave,40.716886999997506,-73.96319800000032,-2.494197503831856,-2.9741454864154093,cat-4,North Brooklyn,2.4328163,-0.53084296
Central Park W & W 96 St,Central Park W & W 96 St,Central Park W,W 96 St,W 96 St,N.A.,40.791269999997084,-73.96483900000084,2.6202587151940406,1.7182630906768281,cat-9,Upper West Side,-3.618659,-2.1668994
E 12 St & 4 Av,E 12 St & 4 Av,E 12 St,4 Av,E 12 St,N.A.,40.73269000000239,-73.98973999999457,-2.6943770672546634,-2.3527216856891755,cat-8,Lower Manhattan,5.5886636,-2.273756
Central Park North & Adam Clayton Powell Blvd,Central Park North & Adam Clayton Powell Blvd,Central Park North,Adam Clayton Powell Blvd,N.A.,N.A.,40.79948399999803,-73.95561300000463,1.0922770524452972,1.1810253137630298,cat-9,Upper West Side,5.53024,-8.733765
Peck Slip & Front St,Peck Slip & Front St,Peck Slip,Front St,Front St,N.A.,40.7078730000041,-74.00167000000435,0.5096430946575765,0.4541684853775223,cat-8,Lower Manhattan,5.817175,-7.503616
1 Ave & E 30 St,1 Ave & E 30 St,1 Ave,E 30 St,E 30 St,1 Ave,40.74144387000447,-73.97536082000632,-0.0840727595386852,0.06500224921273912,cat-12,Midtown,-2.4990313,2.2661119
E 12 St & 3 Ave,E 12 St & 3 Ave,E 12 St,3 Ave,E 12 St,3 Ave,40.73223272000107,-73.98889956999918,-3.7505562972853568,-3.2703180212013194,cat-8,Lower Manhattan,2.901324,4.870246
S 3 St & Bedford Ave,S 3 St & Bedford Ave,S 3 St,Bedford Ave,S 3 St,Bedford Ave,40.712604859997846,-73.96264402999535,-4.029418319589922,-4.28175932127715,cat-4,North Brooklyn,-2.9116023,2.6733491
E 41 St & Madison Ave,E 41 St & Madison Ave,E 41 St,Madison Ave,E 41 St,Madison Ave,40.752165280623345,-73.97992193698882,1.4875588433087614,-0.19365007881106067,cat-12,Midtown,3.484417,-2.387585
W 53 St & 10 Ave,W 53 St & 10 Ave,W 53 St,10 Ave,W 53 St,10 Ave,40.766696709996495,-73.99061728000562,-1.5794203549764916,-1.013643480205701,cat-12,Midtown,-6.4799023,-0.32130322
Perry St & Bleecker St,Perry St & Bleecker St,Perry St,Bleecker St,Perry St,N.A.,40.73535398000125,-74.0048309100047,-0.8431240153049657,-0.9040324397387849,cat-8,Lower Manhattan,-7.5900774,5.267381
MacDougal St & Washington Sq,MacDougal St & Washington Sq,MacDougal St,Washington Sq,MacDougal St,N.A.,40.732263979997434,-73.99852204999885,-0.7580608793687134,-1.0696428571427532,cat-8,Lower Manhattan,-17.168974,5.1540246
Hanson Pl & Ashland Pl,Hanson Pl & Ashland Pl,Hanson Pl,Ashland Pl,N.A.,N.A.,40.68506807307989,-73.97790759801863,-0.41629061371850185,0.04336966394180308,cat-7,Central Brooklyn,3.5094178,-1.8022143
University Pl & E 8 St,University Pl & E 8 St,University Pl,E 8 St,E 8 St,N.A.,40.73143724085177,-73.99490341544151,0.18115777525531485,-0.064715298422243,cat-8,Lower Manhattan,-17.056952,5.0364227
Watts St & Greenwich St,Watts St & Greenwich St,Watts St,Greenwich St,Watts St,N.A.,40.724055489999344,-74.00965964999787,-0.6016371077762415,-0.9308091052512282,cat-8,Lower Manhattan,-8.007924,5.2051983
Liberty St & Broadway,Liberty St & Broadway,Liberty St,Broadway,Liberty St,N.A.,40.709056229999995,-74.01043382,-0.5186712485681255,-0.049785019235059735,cat-8,Lower Manhattan,-8.800705,5.9162903
Bayard St & Baxter St,Bayard St & Baxter St,Bayard St,Baxter St,Bayard St,N.A.,40.71602117999931,-73.99974371999714,0.37927080944746194,0.06241550247864325,cat-8,Lower Manhattan,-9.876115,5.8332324
E 19 St & 3 Ave,E 19 St & 3 Ave,E 19 St,3 Ave,E 19 St,3 Ave,40.73624527000288,-73.98473765000212,-1.6733842946491677,-1.1222144030025447,cat-12,Midtown,-9.951579,5.677991
Bank St & Hudson St,Bank St & Hudson St,Bank St,Hudson St,Bank St,N.A.,40.736528890001644,-74.00618026000028,1.4015309672929561,1.7043173862309686,cat-8,Lower Manhattan,-9.538602,6.067759
Old Fulton St,Old Fulton St,Old Fulton St,Old Fulton St,Old Fulton St,N.A.,40.70277159000191,-73.99383604999927,1.6254375729288313,1.2158388647287666,cat-5,South Brooklyn,-10.570449,6.0718694
Lexington Ave & E 29 St,Lexington Ave & E 29 St,Lexington Ave,E 29 St,E 29 St,Lexington Ave,40.74311555376711,-73.98215353488922,-2.2621608980355177,-1.8905739617359814,cat-12,Midtown,-11.33316,6.2122087
W 59 St & 10 Ave,W 59 St & 10 Ave,W 59 St,10 Ave,W 59 St,10 Ave,40.770512999997955,-73.98803800000546,-0.6808157457908237,-0.620950888192283,cat-9,Upper West Side,-11.806191,5.9508486
E 43 St & 5 Ave,E 43 St & 5 Ave,E 43 St,5 Ave,E 43 St,5 Ave,40.75412081077507,-73.98025184869765,1.6478839752733165,-0.21514242878561163,cat-12,Midtown,-11.778476,5.6579185
E 27 St & 1 Ave,E 27 St & 1 Ave,E 27 St,1 Ave,E 27 St,1 Ave,40.739445000002675,-73.97680599999617,-1.21612595419856,-0.8384154287202819,cat-12,Midtown,-11.7083,5.7876706
Broadway & W 53 St,Broadway & W 53 St,Broadway,W 53 St,W 53 St,N.A.,40.76344057999975,-73.98268129000759,0.6323073252206086,2.7023629964805878,cat-12,Midtown,-13.586951,6.3308353
W 67 St & Broadway,W 67 St & Broadway,W 67 St,Broadway,W 67 St,N.A.,40.77492513000133,-73.98266565999968,2.029743343727432,1.6294982260517372,cat-9,Upper West Side,6.1476846,-2.6601276
Division St & Bowery,Division St & Bowery,Division St,Bowery,Division St,N.A.,40.714130890002124,-73.99704680000103,1.2440447253281945,2.034718941898973,cat-8,Lower Manhattan,2.9502742,-8.5037365
Central Park West & W 76 St,Central Park West & W 76 St,Central Park West,W 76 St,W 76 St,N.A.,40.778967839997314,-73.97374737000314,2.474484789008784,2.561728395061664,cat-9,Upper West Side,-2.792149,2.706906
Suffolk St & Stanton St,Suffolk St & Stanton St,Suffolk St,Stanton St,Suffolk St,N.A.,40.720664419999714,-73.98517977000147,-3.4934648581997862,-3.4327442317132864,cat-8,Lower Manhattan,6.2543693,-1.8658011
E 16 St & Irving Pl,E 16 St & Irving Pl,E 16 St,Irving Pl,E 16 St,N.A.,40.73536705560417,-73.98797392845155,-0.7593780848962979,0.26530612244891927,cat-12,Midtown,5.580496,-0.53804827
Cliff St & Fulton St,Cliff St & Fulton St,Cliff St,Fulton St,Cliff St,N.A.,40.70837999999712,-74.00494999999835,-0.6838071693448455,-0.941485550513562,cat-8,Lower Manhattan,5.9446163,-0.3192327
E 51 St & 1 Ave,E 51 St & 1 Ave,E 51 St,1 Ave,E 51 St,1 Ave,40.754557310001076,-73.96592975999636,-0.03365503588224783,0.4735541275333617,cat-11,Upper East Side,3.9407623,-9.314487
Stanton St & Norfolk St,Stanton St & Norfolk St,Stanton St,Norfolk St,Stanton St,N.A.,40.72074700000239,-73.98627400000018,-3.8452970297030333,-3.840797244094574,cat-8,Lower Manhattan,2.7387488,-6.902132
W 37 St & 5 Ave,W 37 St & 5 Ave,W 37 St,5 Ave,W 37 St,5 Ave,40.75038009000112,-73.98338988000359,-0.07568238213389122,-0.06374298827131497,cat-12,Midtown,3.0079532,-6.9135947
E 10 St & 5 Ave,E 10 St & 5 Ave,E 10 St,5 Ave,E 10 St,5 Ave,40.73331966999999,-73.99510131999975,0.7723069232690705,0.9896039603961526,cat-8,Lower Manhattan,3.4725075,-7.9756784
1 Ave & E 44 St,1 Ave & E 44 St,1 Ave,E 44 St,E 44 St,1 Ave,40.75001985999936,-73.9690530099958,2.2755488266464,1.7989241803279583,cat-11,Upper East Side,7.4537554,-6.1070876
Broadway & W 51 St,Broadway & W 51 St,Broadway,W 51 St,W 51 St,N.A.,40.76228826000059,-73.98336183000315,1.1294800605753608,1.5373173277662318,cat-12,Midtown,-2.1661322,-1.6452492
E 47 St & 2 Ave,E 47 St & 2 Ave,E 47 St,2 Ave,E 47 St,2 Ave,40.753230979998094,-73.97032517000078,-0.8758568164507778,0.20141342756187441,cat-11,Upper East Side,7.6942725,-7.9079
Murray St & West St,Murray St & West St,Murray St,West St,Murray St,N.A.,40.71497869999984,-74.01301200000505,-0.40299644489596176,-1.4340563991322597,cat-8,Lower Manhattan,4.262663,-5.1450644
E 2 St & Avenue C,E 2 St & Avenue C,E 2 St,Avenue C,E 2 St,N.A.,40.72087359999965,-73.9808579499963,-3.4718040316406586,-2.7808184143223116,cat-8,Lower Manhattan,5.532245,-4.7764826
Bank St & Washington St,Bank St & Washington St,Bank St,Washington St,Bank St,N.A.,40.73619670000005,-74.00859206999735,0.9118174826967334,0.8386690194101902,cat-8,Lower Manhattan,-6.4124064,1.3791869
West Drive & Prospect Park West,West Drive & Prospect Park West,West Drive,Prospect Park West,N.A.,N.A.,40.661063371898024,-73.97945255041121,0.6484676796292206,0.9676425269644824,cat-5,South Brooklyn,7.6039724,-9.177526
South St & Whitehall St,South St & Whitehall St,South St,Whitehall St,South St,N.A.,40.70122128000137,-74.01234218000386,2.284894338638196,0.936170212766001,cat-8,Lower Manhattan,8.800587,-9.303151
Henry St & Grand St,Henry St & Grand St,Henry St,Grand St,Henry St,N.A.,40.7142150000022,-73.9813459999927,2.7634210526316565,2.8459094519459995,cat-8,Lower Manhattan,5.4778156,-8.95943
E 25 St & 1 Ave,E 25 St & 1 Ave,E 25 St,1 Ave,E 25 St,1 Ave,40.73817649999982,-73.97738662000565,-4.35128002111378,-3.2907988399683745,cat-12,Midtown,3.2981637,-10.015875
E 45 St & 3 Ave,E 45 St & 3 Ave,E 45 St,3 Ave,E 45 St,3 Ave,40.75255433999775,-73.97282625000703,0.4680000000000746,-0.20377258235907902,cat-11,Upper East Side,11.074282,-7.9018235
Broadway & W 37 St,Broadway & W 37 St,Broadway,W 37 St,W 37 St,N.A.,40.75172632000105,-73.98753523000047,0.1464848970863386,-1.2644295302013688,cat-12,Midtown,4.68232,-9.797206
Rivington St & Ridge St,Rivington St & Ridge St,Rivington St,Ridge St,Rivington St,N.A.,40.71850210999914,-73.98329858999935,-3.1567785234899475,-3.6405099150142632,cat-8,Lower Manhattan,10.688294,-8.127631
Bergen St & Smith St,Bergen St & Smith St,Bergen St,Smith St,Bergen St,N.A.,40.68674429999866,-73.99063168000296,-0.921002965759044,-1.1444236426852967,cat-5,South Brooklyn,-16.606035,5.4361415
E 51 St & Lexington Ave,E 51 St & Lexington Ave,E 51 St,Lexington Ave,E 51 St,Lexington Ave,40.75714758000369,-73.97207836000327,0.21626768226337845,-0.24572271386432476,cat-12,Midtown,-1.7601283,-0.5374459
Bond St & Fulton St,Bond St & Fulton St,Bond St,Fulton St,Bond St,N.A.,40.68962188790041,-73.98304268717766,0.1597487711633221,-1.885745375408078,cat-5,South Brooklyn,7.711245,-1.0549263
Rivington St & Chrystie St,Rivington St & Chrystie St,Rivington St,Chrystie St,Rivington St,N.A.,40.72110063000279,-73.99192540000492,-2.105885588558749,-2.150302711239874,cat-8,Lower Manhattan,1.7803885,2.843648
Washington Pl & Broadway,Washington Pl & Broadway,Washington Pl,Broadway,N.A.,N.A.,40.729039169996696,-73.99404648999919,-2.3942761878299734,-3.4306272060819083,cat-8,Lower Manhattan,1.2588388,3.1051006
Bus Slip & State St,Bus Slip & State St,Bus Slip,State St,State St,N.A.,40.70190699999923,-74.01394199999622,2.364142538975557,3.0863832077502593,cat-8,Lower Manhattan,7.2482896,-0.4046774
E 53 St & Madison Ave,E 53 St & Madison Ave,E 53 St,Madison Ave,E 53 St,Madison Ave,40.75971080000058,-73.9740231100004,1.5595071408567946,1.2492778740611357,cat-12,Midtown,7.4889083,-0.676674
